timestamp,ax,ay,az,gx,gy,gz
1403636579809262870,8.147691708333333,-0.3759215833333333,-2.40262925,-0.0991347015132779,0.14730578886832138,0.02722713633111154
1403636579809328595,8.033280791666666,-0.40861041666666664,-2.40262925,-0.0991347015132779,0.14032447186034408,0.029321531433504733
1403636579809456994,7.886181041666666,-0.42495483333333334,-2.435318083333333,-0.09843656981248018,0.12775810124598494,0.03769911184307752
1403636579809496437,7.8289755833333325,-0.3759215833333333,-2.4680069166666665,-0.10262536001726656,0.11588986233242347,0.04537856055185257
1403636579809584727,7.714564666666666,-0.40861041666666664,-2.557901208333333,-0.1054178868204575,0.10821041362364843,0.05166174585903216
1403636579809898550,7.657359208333333,-0.43312704166666666,-2.6396232916666666,-0.10890854532444616,0.09773843811168245,0.056548667764616284
1403636579809944032,7.591981541666666,-0.465815875,-2.705000958333333,-0.11030480872604163,0.08587019919812101,0.0614355896702004
1403636579809978979,7.5511205,-0.4739880833333333,-2.7458620000000002,-0.114493598930828,0.0747000919853573,0.060039326268604934
1403636579810013227,7.591981541666666,-0.5148491249999999,-2.8847895416666667,-0.11100294042683936,0.057246799465414,0.06213372137099814
1403636579810047464,7.624670374999999,-0.48216029166666663,-2.9256505833333333,-0.11728612573401893,0.04677482395344803,0.0614355896702004
1403636579859392903,7.60015375,-0.53936575,-2.9338227916666666,-0.12147491593880534,0.033510321638291124,0.05375614096142535
1403636579859435643,7.714564666666666,-0.5230213333333333,-2.966511625,-0.11938052083641214,0.011868238913561441,0.041189770347066175
1403636579859471083,7.730909083333333,-0.45764366666666667,-2.9338227916666666,-0.12007865253720987,-0.0027925268031909274,0.033510321638291124
1403636579859506027,7.837147791666666,-0.4494714583333333,-2.852100708333333,-0.11728612573401893,-0.019547687622336492,0.02583087292951608
1403636579859540294,8.033280791666666,-0.42495483333333334,-2.778550833333333,-0.11030480872604163,-0.04328416544945937,0.0153588974175501
1403636579859577158,8.131347291666666,-0.4004382083333333,-2.7131731666666665,-0.1075122819228507,-0.06492624817418906,0.006283185307179587
1403636579859615580,8.253930416666666,-0.367749375,-2.655967708333333,-0.09843656981248018,-0.08168140899333462,0.0006981317007977319
1403636579859644726,8.351996916666666,-0.416782625,-2.623278875,-0.08936085770210968,-0.09354964790689606,-0.0013962634015954637
1403636579859675696,8.294791458333332,-0.35140495833333335,-2.557901208333333,-0.07819075048934597,-0.0991347015132779,-0.003490658503988659
